id;projet_millesime;projet_numero;porteur_titre;porteur_nom;porteur_prenom;porteur_mail;porteur_tel;projet_theme;projet_libelle;projet_localisation;projet_secteur;projet_date_depot;projet_source_depot;projet_statut;projet_commentaires;projet_cout;projet_synthese_analyse;meta_datcreat;meta_datmaj;meta_datsupp;meta_source;meta_insee;meta_siren;meta_licence;meta_observations;geocod_methode;geocod_fiability;meta_genealogie;meta_mairie_quartier;meta_historique;meta_actif;porteur_collectif;porteur_adresse;projet_sous_theme;projet_description;projet_pourquoi;projet_avis_abf;projet_avancement
1;2017;42;;;;;;Aménagement de l'espace public et mobilier urbain;Verdir la place des noces de feu;rue des noces de feu à Montfavet;Montfavet;;;mis au vote;;5000;;20181022152424.574055;20181022152424.574055;;Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers;84007;218400075;LO;;;;Projets recencés auprès des citoyens, préfiltre par la collectivité, vote du citoyen, suivi des données par la direction métier Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers ;;;t;;;;;;;
2;2017;43;;;;;;Environnement, nature en ville, propreté;Plantation de Tilleuls;boulevard Paul Chabas;Nord;;;mis au vote;;10000;;20181022152424.574055;20181022152424.574055;;Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers;84007;218400075;LO;;;;Projets recencés auprès des citoyens, préfiltre par la collectivité, vote du citoyen, suivi des données par la direction métier Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers ;;;t;;;;;;;
3;2017;49;;;;;;Solidarité, citoyenneté, intergénérationnel;Création d'un lieu convivial;Cité Louis Gros;Ouest;;;mis au vote;;50000;;20181022152424.574055;20181022152424.574055;;Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers;84007;218400075;LO;;;;Projets recencés auprès des citoyens, préfiltre par la collectivité, vote du citoyen, suivi des données par la direction métier Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers ;;;t;;;;;;;
4;2017;39;;;;;;Environnement, nature en ville, propreté;Jardins partagés;Montfavet;Montfavet;;;retenu;;22000;;20181022152424.574055;20181022152424.574055;;Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers;84007;218400075;LO;;;;Projets recencés auprès des citoyens, préfiltre par la collectivité, vote du citoyen, suivi des données par la direction métier Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers ;;;t;;;;;;;
10;2017;02;;;;;;Aménagement de l'espace public et mobilier urbain;Bien dans ma cabane (cabane dans les arbres);Parc Chico Mendes;Est;;;retenu;;60000;;20181022152424.574055;20181022152424.574055;;Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers;84007;218400075;LO;;;;Projets recencés auprès des citoyens, préfiltre par la collectivité, vote du citoyen, suivi des données par la direction métier Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers ;;;t;;;;;;;
11;2017;12;;;;;;Aménagement de l'espace public et mobilier urbain;Aire de jeux "Broquetons";Montfavet;Montfavet;;;mis au vote;;60000;;20181022152424.574055;20181022152424.574055;;Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers;84007;218400075;LO;;;;Projets recencés auprès des citoyens, préfiltre par la collectivité, vote du citoyen, suivi des données par la direction métier Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers ;;;t;;;;;;;
15;2017;03;;;;;;Aménagement de l'espace public et mobilier urbain;Mise en place d'agrés au parc massillargues;parc du clos de massillargues;nord;;;mis au vote;;60000;;20181022152424.574055;20181022152424.574055;;Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers;84007;218400075;LO;;;;Projets recencés auprès des citoyens, préfiltre par la collectivité, vote du citoyen, suivi des données par la direction métier Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers ;;;t;;;;;;;
16;2017;07;;;;;;Aménagement de l'espace public et mobilier urbain;Rénovation et embellissement du passage de l'Oratoire;Passage de l'Oratoire;intra;;;retenu;;80000;;20181022152424.574055;20181022152424.574055;;Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers;84007;218400075;LO;;;;Projets recencés auprès des citoyens, préfiltre par la collectivité, vote du citoyen, suivi des données par la direction métier Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers ;;;t;;;;;;;
17;2017;08;;;;;;Aménagement de l'espace public et mobilier urbain;Aménagement de la cour médiévale ;Montfavet;Montfavet;;;retenu;;80000;;20181022152424.574055;20181022152424.574055;;Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers;84007;218400075;LO;;;;Projets recencés auprès des citoyens, préfiltre par la collectivité, vote du citoyen, suivi des données par la direction métier Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers ;;;t;;;;;;;
18;2017;09;;;;;;Aménagement de l'espace public et mobilier urbain;Aménagement de la place de l'église de Montfavet;Montfavet;Montfavet;;;retenu;;30000;;20181022152424.574055;20181022152424.574055;;Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers;84007;218400075;LO;;;;Projets recencés auprès des citoyens, préfiltre par la collectivité, vote du citoyen, suivi des données par la direction métier Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers ;;;t;;;;;;;
19;2017;10;;;;;;Aménagement de l'espace public et mobilier urbain;Panneaux défilants pour l'information des habitants du quartier;Montfavet;Montfavet;;;retenu;;20000;;20181022152424.574055;20181022152424.574055;;Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers;84007;218400075;LO;;;;Projets recencés auprès des citoyens, préfiltre par la collectivité, vote du citoyen, suivi des données par la direction métier Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers ;;;t;;;;;;;
20;2017;22;;;;;;Aménagement de l'espace public et mobilier urbain;Aménager le tunnel avenue Monclar et le boulevard Champfleury;"tunnel de l'avenue Monclar 
boulevard Champfleury";Ouest;;;retenu;;;;20181022152424.574055;20181022152424.574055;;Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers;84007;218400075;LO;;;;Projets recencés auprès des citoyens, préfiltre par la collectivité, vote du citoyen, suivi des données par la direction métier Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers ;;;t;;;;;;;
22;2017;18;;;;;;Aménagement de l'espace public et mobilier urbain;Aire de jeux ;rue Lulli - Quartier Monclar Sud;Ouest;;;mis au vote;;60000;;20181022152424.574055;20181022152424.574055;;Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers;84007;218400075;LO;;;;Projets recencés auprès des citoyens, préfiltre par la collectivité, vote du citoyen, suivi des données par la direction métier Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers ;;;t;;;;;;;
23;2017;34;;;;;;Enfance, jeunesse;Aire de jeux;Parc du champs vert rocade sud;Sud Rocade;;;retenu;;60000;;20181022152424.574055;20181022152424.574055;;Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers;84007;218400075;LO;;;;Projets recencés auprès des citoyens, préfiltre par la collectivité, vote du citoyen, suivi des données par la direction métier Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers ;;;t;;;;;;;
28;2017;16;;;;;;Aménagement de l'espace public et mobilier urbain;Rénovation sous le pont ferroviaire St Jean chemin des Canaux;Passage sous le pont ferroviaire st jean chemin des canaux;Nord;;;mis au vote;;50000;;20181022152424.574055;20181022152424.574055;;Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers;84007;218400075;LO;;;;Projets recencés auprès des citoyens, préfiltre par la collectivité, vote du citoyen, suivi des données par la direction métier Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers ;;;t;;;;;;;
30;2017;06;;;;;;Aménagement de l'espace public et mobilier urbain;Jeux d'eau;Place Pie;intra;;;retenu;;120000;;20181022152424.574055;20181022152424.574055;;Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers;84007;218400075;LO;;;;Projets recencés auprès des citoyens, préfiltre par la collectivité, vote du citoyen, suivi des données par la direction métier Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers ;;;t;;;;;;;
37;2017;32;;;;;;Aménagement de l'espace public et mobilier urbain;Aménagement apaisé d'un itinéraire vert de sortie de la ville;"rue du portail Magnanen
rue pétramale
place des études
place noel Biret
place Damette";intra;;;retenu;;130000;;20181022152424.574055;20181022152424.574055;;Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers;84007;218400075;LO;;;;Projets recencés auprès des citoyens, préfiltre par la collectivité, vote du citoyen, suivi des données par la direction métier Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers ;;;t;;;;;;;
40;2017;11;;;;;;Aménagement de l'espace public et mobilier urbain;Un Jardin partagé place Michel Goutier et le long du chemin des canaux;Souvine;Nord;;;retenu;;3000;;20181022152424.574055;20181022152424.574055;;Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers;84007;218400075;LO;;;;Projets recencés auprès des citoyens, préfiltre par la collectivité, vote du citoyen, suivi des données par la direction métier Mairie Avignon / Pôle Vivre la Ville / DPT Vie des Quartiers ;;;t;;;;;;;
